EuphemismID,lang,topic,topicEnglish,EuphemismTerm,DirectTerm
E-00001,aceh,Kehamilan,Pregnancy,alat kelamin,Boh Pek
E-00002,aceh,Vagina,Vagina,alat keulamin,Boh Pek
E-00003,aceh,Candidiasis,Candidiasis (Yeast Infection),alat reproduksi,Boh Pek
E-00004,aceh,Benjolan Payudara,Breast Lump,asi,Ie Mom
E-00005,aceh,Kehamilan,Pregnancy,ata gobnyan,Boh Kreh
E-00006,aceh,Menstruasi,Menstruation,ata lon nyan,Boh Pek
E-00007,aceh,Endometriosis,Endometriosis,ata nyan,Boh Pek
E-00008,aceh,Vaginitis,Vaginitis,bagah na aneuk,Mume
E-00009,aceh,Benjolan Payudara,Breast Lump,bak,Toh Iek
E-00010,aceh,Menopause,Menopause,bercinta,Meuhubungan Sex
E-00011,aceh,Candidiasis,Candidiasis (Yeast Infection),berhubungan,Meuhubungan Sex
E-00012,aceh,Kanker Serviks,Cervical Cancer,berhubungan intim,Meuhubungan Sex
E-00013,aceh,Kanker Serviks,Cervical Cancer,berhubungan ngon linto,Meuhubungan Sex
E-00014,aceh,Endometriosis,Endometriosis,berhubungan sek,Meuhubungan Sex
E-00015,aceh,Kehamilan,Pregnancy,berpelukan,Meu Uem
E-00016,aceh,Amenorrhea,Amenorrhea,buleun,Men
E-00017,aceh,Hormon,Hormones / Hormonal Disorders,cairan kuneng,Leunde Kuneng
E-00018,aceh,Hormon,Hormones / Hormonal Disorders,cak-cak darah,Men
E-00019,aceh,Vagina,Vagina,daerah kewanitaan,Boh Pek
E-00020,aceh,Menstruasi,Menstruation,daid,Men
E-00021,aceh,Kehamilan,Pregnancy,darah coklat,Men
E-00022,aceh,Endometriosis,Endometriosis,darah haid,Men
E-00023,aceh,Vaginitis,Vaginitis,datang buleun,Men
E-00024,aceh,Menstruasi,Menstruation,dipeutubiet di lua,Ditubiet i lua
E-00025,aceh,Menstruasi,Menstruation,dipeutubiet idalam,Ditubiet idalam
E-00026,aceh,Menstruasi,Menstruation,dipeutubiet sprema,Dipeutubiet Sperma
E-00027,aceh,Kehamilan,Pregnancy,ditamong,Dipeutamong kreh
E-00028,aceh,Menstruasi,Menstruation,ditubiet atanya idalam,Ditubiet Sperma
E-00029,aceh,Candidiasis,Candidiasis (Yeast Infection),ditubiet darah,Men
E-00030,aceh,Menstruasi,Menstruation,ditubiet dilua,Itubiet i lua
E-00031,aceh,Kehamilan,Pregnancy,ditubiet idalam,Itubiet i lua
E-00032,aceh,Endometriosis,Endometriosis,flek coklat,Flek Coklat
E-00033,aceh,Menstruasi,Menstruation,geupeutubiet di lua,I peutubiet i lua
E-00034,aceh,Menstruasi,Menstruation,geuputubiet di lua,I peutubiet i lua
E-00035,aceh,Aborsi,Abortion,golom ingin na keturunan,Tunda na aneuk
E-00036,aceh,Endometriosis,Endometriosis,golom meunikah,Golom kawen
E-00037,aceh,Endometriosis,Endometriosis,golom nikah,Golom kawen
E-00038,aceh,Aborsi,Abortion,gugor kandongan,Gugor
E-00039,aceh,Kehamilan,Pregnancy,haed,Men
E-00040,aceh,Endometriosis,Endometriosis,haid,Men
